"id_article","description","total_weight","total_amount"
6058,"COSTINE SUINO",1158.302,9620.98
6059,"PANCETTA SUINO",94.698,558.77
6060,"COTENNA SUINO",9.758,34.16
6061,"PIEDINI SUINO",5.036,19.64
6063,"LINGUA SUINO",0.05,0.3
6064,"COTECHINI",68.472,746.42
6065,"STINCO SUINO",7.288,43.01
6066,"VALDOSTANE SUINO",13.242,135.65
6067,"SPEZZATINO MISTO",0.430,4.69
6068,"TRAMEZZINI",1.502,20.88
6070,"FESA TACCHINO",525.956,5278.09
6071,"TOURNADOS TACCHINO",0.792,11.01
6072,"COSCIA TACCHINO",10.829,74.71
6073,"ANCA TACCHINO",7.036,55.59
6074,"FUSELLO TACCHINO",1.224,7.22
6075,"ALI TACCHINO",0.258,1.26
6076,"PAELLA DI CARNE",8.900,114.81
6078,"FARAONA",10.091,86.94
6079,"POLLO LIVORNESE",1.12,11.09
6081,"GALLINA",28.158,137.98
6082,"POLLO AL CURRY",49.861,693.13
6083,"QUAGLIE",3.390,47.12
6084,"ANATRA",2.118,29.44
6086,"CAPPONE",24.530,292.09
6087,"POLLO BUSTO",28.076,163.48
6088,"POLLETTO FARCITO",4.906,82.91
6089,"RUSTICHELLE",575.623,6079.68
6090,"PETTO POLLO",2011.031,20459.56
6091,"COSCE POLLO",594.470,3710.36
6092,"ALI POLLO",7.945,27.85
6093,"ALETTE POLLO",599.347,2722.93
6094,"FUSELLI POLLO",317.918,2276.90
6098,"SALTIMBOCCA SUINO",12.008,134.43
6100,"ROLATINE CONIGLIO",50.826,1265.60
6101,"CONIGLIO",333.356,3678.73
6102,"ANTERIORE CONIGLIO",3.228,38.41
6103,"POSTERIORE CONIGLIO",10.312,143.33
6104,"CONIGLIO LIVORNESE",95.399,1326.11
6105,"SPALLETTE CONIGLIO",2.160,32.18
6106,"COSCE CONIGLIO",0.622,9.89
6107,"SALAME DI VITELLONE",13.122,208.64
6108,"SALAME PATATA",1.222,15.29
6109,"SALAME CRUDO",5.852,116.47
6110,"FILETTO DI CONIGLIO",6.532,169.19
6112,"CARRE` AGNELLO",84.323,2099.63
6113,"AGNELLO SAPORITO",14.530,231.04
6114,"PUNTINE BOVINO ADULT",21.556,234.97
6115,"NODINI VITELLO",10.922,282.87
6116,"ARROSTICINI POLLO/TA",2.255,38.87
6118,"HAMBURGER TACCHINO",42.715,593.73
6119,"SPIEDINI MISTI",114.244,983.88
6120,"ROLATINE POLLO",6537.531,90803.99
6121,"ROLATA POLLO",12.046,167.43
6122,"ARROSTICINI CROCCANT",32.528,573.31
6130,"BRASILIANE BOVINO AD",4.668,70.26
6134,"ANATRA FARCITA",0.28,4.73
6135,"CORDON BLEU",1.382,13.67
6137,"POLPETTE",0.352,4.19
6138,"POLPETTONE",18.096,242.86
6139,"POLPETTE PANATE",66.633,926.19
6140,"HAMBURGER TEXANO",12.175,169.25
6142,"POLPETTONE PANATO",1.028,14.29
6146,"PIADA DI CARNE",9.862,117.37
6149,"TRIPPA CONDITA",9.940,98.42
6151,"MILANESI BOVINO ADUL",287.723,5322.77
6153,"CAPOCOLLO AL VERDE",6.434,70.14
6155,"CAPOCOLLO BOSCAIOLA",97.608,1077.08
6156,"CAPOCOLLO AL BARBECU",3.178,34.64
6157,"SALSICCIA TACCH/SUIN",0.22,2.18
6158,"COSTINE AL BARBECUE",10.456,113.97
6168,"SPADELLATA TACCHINO",2.926,34.82
6175,"SALSICCIA BACIATA",10.538,125.41
6176,"SCOTTADITO AL LIMONE",1.376,27.38
6179,"FARAONA FARCITA",3.417,67.99
6183,"GALLETTO ALLA LIVORN",1.366,14.89
6185,"TASCA RIPIENA BOVINO",4.152,57.71
